year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2015,2,MQ,Envoy Air,LGA,"New York, NY: LaGuardia",1214,450,53.38,18.35,207.01,0.85,170.42,258,6,29767,4377,2824,11388,17,11161
2015,2,MQ,Envoy Air,MHK,"Manhattan/Ft. Riley, KS: Manhattan Regional",121,44,11.55,5.31,11.7,0,15.44,15,0,3395,770,528,758,0,1339
2015,2,MQ,Envoy Air,IND,"Indianapolis, IN: Indianapolis International",157,55,19.15,6.65,17.7,0,11.49,19,0,3014,786,457,927,0,844
2015,2,MQ,Envoy Air,RST,"Rochester, MN: Rochester International",112,44,9.55,6.54,11.16,0,16.74,12,0,2742,535,415,559,0,1233
2015,2,MQ,Envoy Air,ALO,"Waterloo, IA: Waterloo Regional",52,23,6.89,3.15,4.13,0,8.83,6,0,1577,368,294,366,0,549
2015,2,MQ,Envoy Air,BMI,"Bloomington/Normal, IL: Central Illinois Regional",136,44,15.59,7.83,10.59,0,9.99,21,0,2364,622,554,636,0,552
2015,2,HA,Hawaiian Airlines Inc.,PPG,"Pago Pago, TT: Pago Pago International",8,1,1,0,0,0,0,0,0,23,23,0,0,0,0
2015,2,MQ,Envoy Air,RAP,"Rapid City, SD: Rapid City Regional",28,4,2.57,0,1.43,0,0,4,0,101,73,0,28,0,0
2015,2,MQ,Envoy Air,XNA,"Fayetteville, AR: Northwest Arkansas Regional",384,145,47.57,21.58,32.84,0,43.01,48,1,9213,2314,2005,1849,0,3045
2015,2,MQ,Envoy Air,GRK,"Killeen, TX: Robert Gray AAF",203,45,11.13,3.78,14.12,1,14.96,33,0,2813,522,508,970,22,791
2015,2,MQ,Envoy Air,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",140,28,7.33,4.97,13.77,0,1.93,17,0,1791,251,565,793,0,182
